Timestamp,Multiplier,Color
2025-10-15 08:31:40.049596+05:30,1.76,
2025-10-15 08:31:47.165843+05:30,1.69,
2025-10-15 08:32:21.289614+05:30,8.32,
2025-10-15 08:32:44.304117+05:30,2.27,
2025-10-15 08:32:58.505282+05:30,2.22,
2025-10-15 08:33:24.473934+05:30,1.99,
2025-10-15 08:33:27.354058+05:30,1.08,
2025-10-15 08:33:45.759665+05:30,2.29,
2025-10-15 08:33:54.589605+05:30,1.0,
2025-10-15 08:34:05.932678+05:30,1.18,
2025-10-15 08:34:31.096224+05:30,3.48,
2025-10-15 08:35:01.889261+05:30,5.15,
2025-10-15 08:35:12.594188+05:30,1.0,
2025-10-15 08:36:01.572031+05:30,21.15,
2025-10-15 08:36:31.739106+05:30,9.555,
2025-10-15 08:36:44.735699+05:30,1.36,
2025-10-15 08:37:03.587842+05:30,1.95,
2025-10-15 08:37:26.618847+05:30,3.53,
2025-10-15 08:37:38.012009+05:30,1.26,
2025-10-15 08:37:57.227172+05:30,1.97,
2025-10-15 08:38:06.394186+05:30,1.14,
2025-10-15 08:38:16.921749+05:30,1.15,
2025-10-15 08:38:47.200765+05:30,5.49,
2025-10-15 08:39:11.604566+05:30,3.15,
2025-10-15 08:39:48.183666+05:30,9.37,
2025-10-15 08:40:11.337700+05:30,1.63,
2025-10-15 08:40:22.581439+05:30,1.15,
2025-10-15 08:40:42.206238+05:30,1.98,
2025-10-15 08:40:54.037991+05:30,1.39,
2025-10-15 08:41:35.722259+05:30,13.97,
2025-10-15 08:41:46.611664+05:30,1.01,
2025-10-15 08:42:07.001041+05:30,3.02,
2025-10-15 08:42:22.470247+05:30,1.8,
2025-10-15 08:42:33.791594+05:30,1.22,
2025-10-15 08:42:46.757636+05:30,1.22,
2025-10-15 08:42:56.056317+05:30,1.16,
2025-10-15 08:43:13.705906+05:30,1.78,
2025-10-15 08:43:23.499904+05:30,1.11,
2025-10-15 08:43:42.138458+05:30,1.02,
2025-10-15 08:43:47.103653+05:30,1.36,
2025-10-15 08:43:58.239044+05:30,1.33,
2025-10-15 08:45:00.545574+05:30,21.12,
2025-10-15 08:46:33.011009+05:30,1.81,
2025-10-15 08:46:35.764744+05:30,1.25,
2025-10-15 08:46:38.474203+05:30,1.0,
2025-10-15 08:46:56.456515+05:30,1.65,
2025-10-15 08:47:00.250301+05:30,5.46,
2025-10-15 08:47:18.014019+05:30,16.16,
2025-10-15 08:47:28.014019+05:30,2.18,
2025-10-15 08:47:38.014019+05:30,1.82,
2025-10-15 08:47:48.014019+05:30,3.7,
2025-10-15 08:47:58.014019+05:30,3.07,
2025-10-15 08:48:08.014019+05:30,2.16,
2025-10-15 08:48:18.014019+05:30,1.13,
2025-10-15 08:48:28.014019+05:30,1.44,
2025-10-15 08:48:38.014019+05:30,1.4,
2025-10-15 08:48:48.014019+05:30,21.01,
2025-10-15 08:48:58.014019+05:30,1.05,
2025-10-15 08:49:08.014019+05:30,1.05,
2025-10-15 08:49:18.014019+05:30,1.3,
2025-10-15 08:49:28.014019+05:30,1.29,
2025-10-15 08:49:38.014019+05:30,1.0,
2025-10-15 08:49:48.014019+05:30,1.2,
2025-10-15 08:49:58.014019+05:30,2.15,
2025-10-18 09:12:30.371342+05:30,2.28,
2025-10-18 09:12:35.371342+05:30,5.39,
2025-10-18 09:13:01.147310+05:30,1.94,
2025-10-18 09:13:20.347679+05:30,10.62,
2025-10-18 09:13:56.873932+05:30,1.09,
2025-10-18 09:14:06.895460+05:30,5.88,
2025-10-18 09:14:37.810592+05:30,1.0,
2025-10-18 09:14:48.012120+05:30,11.0,
2025-10-18 09:16:43.558429+05:30,6.82,
2025-10-18 09:17:13.238080+05:30,1.59,
2025-10-18 09:17:55.025700+05:30,3.86,
2025-10-18 09:17:59.260030+05:30,5.88,
2025-10-18 09:18:24.408152+05:30,1.52,
2025-10-18 09:18:37.509109+05:30,1.09,
2025-10-18 09:18:47.939594+05:30,1.02,
2025-10-18 09:18:56.166535+05:30,1.07,
2025-10-18 09:19:06.645311+05:30,8.52,
